X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11
449221,4450161,1,NSV_1,40.200000000000003,-105.590000000000000,nsv just above ouzel junction,2797,249222,449221,4450161,7000,lake
449212,4450123,2,NSV_2,40.189999999999998,-105.590000000000000,ouzel just above nsv,2797,161054,449212,4450123,8000,lake
451836,4451056,4,NSV_4,40.200000000000003,-105.560000000000000,hunters just above nsv,2594,139107,451836,4451056,9000,lake
451969,4451029,5,NSV_5,40.200000000000003,-105.560000000000000,nsv below hunters,2584,919269,451969,4451029,11000,lake
445505,4462229,8,GC_2,40.299999999999997,-105.640000000000000,Chaos near glacier gorge parking area,2787,88273,445505,4462229,2300,lake
446020,4462703,9,GC_3,40.310000000000002,-105.630000000000000,Glacier lowest,2726,371413,446020,4462703,4000,lake
445298,4452455,10,NSV_7,40.219999999999999,-105.640000000000000,nsv high below thunder lake,3220,53170,445298,4452455,3000,lake
449276,4448286,11,NSV_8,40.180000000000000,-105.590000000000000,cony,3017,157044,449276,4448286,100000,none
449166,4452928,12,NSV_9,40.219999999999999,-105.590000000000000,hunters high,3130,108928,449166,4452928,300,lake
444978,4460775,14,GC_4,40.289999999999999,-105.640000000000000,icy brook,2993,87298,444978,4460775,900,lake
445811,4458199,15,GC_5,40.270000000000003,-105.630000000000000,glacier highest,3129,75121,445811,4458199,1000,lake
445762.305345051,4458398.23408198,16,GC_6,40.270000000000003,-105.630000000000000,shelf creek,3122,1609,445783,4458298,1000,lake
445463,4461972,19,GC_9,40.299999999999997,-105.640000000000000,unnamed draining glacier knobs,2833,51916,445463,4461972,1900,lake
451240.328914083,4450507.60457527,3,NSV_3,1.000000000000000,1.000000000000000,NSV 3,2618,760329,451232,4450507,1,l
